playlist_id,tag0,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag8,tag9,tag10,tag11,tag12,tag13,tag14,tag15,tag16,tag17,tag18,tag19,tag20,tag21,tag22,tag23,tag24,tag25,tag26,tag27,tag28,num_of_songs,playlist_songs_id
15594,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,15,"[97740662, 91351274, 94226594, 94226997, 94039373, 93589384, 98130421, 97915193, 93921128, 96836336, 89564016, 94448653, 101386059, 96071741, 92738663]"
15597,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,20,"[94118161, 71657652, 80271796, 102234394, 89152325, 89021208, 88877627, 90470758, 88640131, 83822002, 16054219, 88656787, 101606147, 89338910, 80277677, 88492748, 85354787, 55677650, 88972413, 92404885]"
15599,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,"[102419421, 102419428, 102420550, 101813452, 102326125, 101108632, 89095987, 89095988, 83528136, 81147348, 81739372, 83945011, 100794101, 83224224, 81147389, 81147386, 81283867, 81291531, 81266463, 81276833]"
15600,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,"[90169371, 81433005, 86382001, 88738361, 90796801, 100023624, 93394149, 94839722, 81433004, 95743781, 93872457, 80092962, 55855582, 80073097, 90169370]"
15605,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,30,"[16328998, 16419817, 16431498, 60339930, 40774654, 60167520, 48402486, 60294156, 74451358, 80269166, 56090416, 80111737, 80609078, 48340496, 16408621, 80548697, 59317737, 60339816, 16396415, 78164113, 43573256, 74451363, 80565248, 16419060, 16399276, 77218098, 53891324, 85534788, 16409784, 45468005]"
15608,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,20,"[102419428, 90197606, 102419447, 102419438, 82956513, 82955213, 89714009, 89887835, 89887856, 82571597, 89887837, 84713465, 89887842, 98131954, 82035903, 89887861, 89047000, 90685081, 90685085, 90197600]"
15610,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,"[88247108, 89263916, 85312917, 16241712, 80462924, 16266080, 16241560, 16236129, 80101765, 16229926, 16239248, 16227290, 80253051, 59989828, 16257273, 16250059]"
15612,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,"[89945983, 102423579, 102546451, 88529954, 100689274, 100390499, 102239234, 81436570, 87675287, 89797264, 91459030, 81276487, 91543310, 87252227, 87420205, 81283893, 101439730, 101615025, 100384427, 100266632]"
15623,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,15,"[101201520, 102281113, 102132155, 102245778, 101201515, 101001810, 102430255, 94514965, 91125252, 102120382, 101832646, 92633337, 101888473, 101320201, 101201512]"
2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,16,"[70722159, 16058966, 48393214, 45380301, 47092977, 70947497, 44110296, 33687723, 45380293, 80972171, 16035313, 45383495, 45768523, 45062649, 34423317, 80059030]"
3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,12,"[42744559, 59716576, 80670346, 80319282, 52806665, 38632147, 43696534, 74442119, 80962817, 38474945, 80798373, 39075641]"
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,"[16038749, 72878016, 43340152, 34338200, 41839149, 16030673, 53758342, 39192553, 34465038, 44789550, 71166727, 44958402, 44115663, 16049700]"
5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,15,"[43455054, 16432400, 43190739, 81011916, 21200061, 45441491, 16289553, 16614140, 81174741, 47265757, 16541471, 16649031, 33484667, 45129272, 34430638]"
6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,12,"[81023654, 16702848, 73331937, 42035614, 60294156, 59796704, 16351705, 80335525, 44322393, 16355806, 16385085, 47943370]"
9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,16,"[47203080, 16229564, 16229588, 38385675, 49723767, 16227676, 16230264, 79933499, 16226478, 16214682, 16245749, 16226342, 16226853, 16227776, 80230802, 19135160]"
11,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,14,"[81118393, 81036611, 57791834, 81154268, 81154262, 80824819, 80824824, 81014931, 81014934, 81138966, 80820719, 70840721, 16264924, 16238415]"
12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,"[16242303, 16230230, 16251145, 16131509, 16408177, 16150651, 16176398, 41462177, 55816609, 80052812, 16272371, 16241466, 16272359, 16130558, 16130563, 42564515, 47474226, 47474296, 47474295, 16151320]"
13,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,8,"[81047662, 51517240, 68290411, 54797519, 52065895, 69250508, 80608201, 80908766]"
14,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,"[42186513, 42187323, 42187360, 42187473, 42187641, 42187476, 42198307]"
15,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,16,"[33704327, 33672178, 45344755, 42882987, 45061332, 40334091, 40332479, 16646856, 45935646, 16510237, 70278970, 33299054, 80987204, 21107696, 44859620, 50253627]"
16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,20,"[43759336, 55622528, 67640858, 80926324, 80934710, 80786846, 16158949, 68525941, 16171835, 49852490, 20788324, 17961133, 80841619, 80898739, 80983627, 80870655, 80742147, 55433606, 56069713, 81013818]"
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,"[16305723, 80240109, 16305920, 80241475, 72684681, 16292683, 16292684, 46752674, 80913916, 80034822, 80240086]"
20,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,"[44039709, 60150028, 80897957, 60293471, 16127479, 80734569, 16150784, 53243292, 80801375, 67294309, 80764490, 80856116, 54782759, 81024870, 81033680, 81159636, 81139722, 21033747, 80776968, 37988779]"
21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,17,"[50049828, 49944067, 16425686, 60135596, 71357465, 44619525, 53709227, 16529734, 81043121, 81092426, 80733180, 80712490, 80645547, 16437691, 17463886, 16157112, 81058090]"
23,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,20,"[80761641, 80050135, 44570303, 80679940, 80050141, 80835239, 78241395, 61837833, 61837767, 61838007, 55748952, 68919345, 68919251, 80751025, 79002193, 80840688, 80840680, 80062346, 72104642, 53474577]"
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,26,"[16171835, 42285793, 70953450, 16184455, 73181533, 81185961, 16276808, 16122519, 80874397, 80066562, 17455815, 80987852, 16255278, 16129835, 59152771, 81010291, 16127513, 38554563, 16246051, 16173344, 16098222, 45862731, 43650938, 81178990, 53725653, 53254751]"
27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,27,"[56069713, 67640858, 80900495, 80842340, 76249388, 81013818, 81169949, 80932466, 81130191, 80818100, 81143017, 80048174, 35071701, 80609059, 80827970, 81070737, 50632840, 81127205, 81178155, 80877157, 80542537, 80554459, 80687601, 80793447, 80701683, 81001388, 81001387]"
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,"[18557329, 16237191, 80973302, 16220530, 16223796, 19135160, 38928501, 80973314, 16228428, 16206756, 80241361, 80973301, 16098023, 16220618, 16228427, 80241364, 80232761, 16220613, 16181162]"
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,"[42246466, 58345753, 16383282, 80889609, 21013693, 20707909, 58347384, 16399637, 38954247, 16678149, 59801293, 16349957, 16376842, 16410663, 53891578, 48402486]"
32,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,"[81066203, 81097099, 81080325, 81040331, 81063076, 81143017, 81131908, 81192952, 81129876, 81077972, 81175813, 81001381, 81161545, 81033196, 81127204, 81144659, 80930440, 81103077, 81153643, 80983842]"
33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,"[16324383, 16434189, 41846734, 38077107, 72334522, 81042905, 75533469, 38076934, 40328924, 70285943, 43460971]"
34,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,"[16700754, 43755510, 80739300, 81129124, 16695858, 43759355, 80739311, 81092685, 80713664, 16703994, 80731559]"
35,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,"[81115624, 16034734, 80667937, 81197369, 81120064, 76284819, 67780775, 81125469, 56100894, 16160060, 16080244, 16031154, 54291430]"
36,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,27,"[80844138, 80844116, 80844139, 80902957, 80707677, 80902956, 72378003, 16176322, 72378002, 81037189, 52284821, 81009808, 81097470, 81087133, 80348635, 81120180, 81109714, 80805386, 80729598, 72771846, 50411352, 80062818, 59541051, 80062826, 80369650, 21189612, 16169494]"
37,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,"[80636414, 16503851, 16529174, 38867782, 16516105, 80946479, 81033771, 42346273, 80854773, 16543096, 16585921, 16672187, 39393833, 16499330, 16498797, 16519587, 80274325, 16670837, 78404123, 16061373, 80954405, 43698564, 71800314, 81176994, 72267890, 16562996, 58823293]"
38,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,21,"[16241930, 16241931, 16241932, 16241940, 81391283, 16241936, 16241942, 16250702, 16250703, 16250706, 16250708, 16250711, 47643274, 47643293, 47643303, 47643309, 47643312, 47643321, 47591131, 47591825, 47591930]"
